"Table S2. Characterization of AGO1 Binding Sites and Associated Genes, related to Figures 1-5"																								
Peak ID	Chromosome	Start	End	Relative ChIP signala (RPKM)			Normalized ChIP signal (RPKM)			Associated genes	Gene ID	RNA-seq  (RPKM)				GRO-seq  (RPKM)		PolII  (RPKM)		PolII_Ser2P  (RPKM)		PolII_Ser5P (RPKM)		Nuclear AGO1-bound sRNAs  (RPKM)
AGO1_peak_232	Chr1	26745810	26746154	0.68	4.36	18.29	14.48	11.9	10.12	At1g70940	At1g70940	73.33	26.41	-1.47	0.00	18.51	7.87	50.61	22.83	23.64	20.06	35.48	29.01	4.67
AGO1_peak_233	Chr1	26782105	26782287	-9.38	5.17	14.38	10.1	11.84	7.53	At1g71010_promoter_1k	At1g71010	15.89	13.45	-0.24	0.76	3.64	2.45	8.32	8.01	16.20	15.47	17.84	15.39	0.41
AGO1_peak_234	Chr1	26924146	26924525	-3.25	0.62	5.95	15.49	13.79	15.3	At1g71440	At1g71440	13.74	11.51	-0.26	0.80	1.41	0.98	8.66	8.32	8.12	8.56	9.41	9.03	0.50
AGO1_peak_235	Chr1	26942914	26943068	-2.01	6.44	6.69	18.1	7	12.33	At1g71530_downstream_1k	At1g71530	1.96	1.88	-0.06	0.97	0.83	0.69	7.34	8.10	8.10	7.50	7.46	7.15	0.08
AGO1_peak_236	Chr1	26964106	26964638	-1.29	2.35	8.76	12.93	7.6	7.33	At1g71695	At1g71695	192.05	191.53	0.00	1.00	25.73	5.27	21.12	14.51	18.41	12.07	27.37	15.16	1.14
AGO1_peak_237	Chr1	27107591	27107834	1.39	2.31	6.93	17.33	11.31	16.92	At1g72010	At1g72010	25.04	19.33	-0.37	0.56	2.83	1.23	30.77	26.32	22.66	23.86	31.46	29.55	1.14
AGO1_peak_238	Chr1	27152512	27152713	NA	5.92	13.31	14.16	10.99	12.07	At1g72160_downstream_1k	At1g72160	82.42	120.42	0.55	0.28	3.68	1.83	15.33	11.17	17.05	14.23	24.62	19.40	1.47
AGO1_peak_239	Chr1	27348007	27349474	1.6	10.88	7.11	16.17	15.1	16.75	At1g72640_promoter_1k;At1g72645_promoter_1k;At1g72645;At1g72645_downstream_1k;At1g72650_promoter_1k	At1g72640	43.37	25.67	-0.76	0.09	2.72	0.98	12.47	10.07	16.59	10.35	18.54	11.31	2.37
											At1g72645	27.41	21.45	-0.35	0.67	207.72	144.51	60.31	34.34	41.90	27.91	57.92	35.46	913.02
											At1g72650	10.42	10.56	0.02	0.99	2.08	1.29	9.69	8.05	13.87	10.20	11.31	9.80	0.98
AGO1_peak_240	Chr1	27505927	27506319	-4.71	4.99	3.67	16.64	14.16	14.26	At1g73150_promoter_1k	At1g73150	2.76	4.91	0.83	0.23	0.90	0.78	9.30	10.18	10.78	11.17	10.80	12.05	0.56
AGO1_peak_241	Chr1	27759596	27759927	-6.6	4.87	4.34	11.11	10.26	9.88	At1g73830_promoter_1k	At1g73830	25.01	4.85	-2.37	0.00	6.03	0.28	41.49	12.76	17.66	8.55	25.30	11.14	0.69
AGO1_peak_242	Chr1	27761510	27761686	1.92	15.46	16.68	10.11	13.17	8.39	At1g73830_downstream_1k	At1g73830	25.01	4.85	-2.37	0.00	6.03	0.28	41.49	12.76	17.66	8.55	25.30	11.14	0.69
AGO1_peak_243	Chr1	27762076	27762266	NA	4.52	3.14	10.61	11.34	8.32	At1g73830_downstream_1k	At1g73830	25.01	4.85	-2.37	0.00	6.03	0.28	41.49	12.76	17.66	8.55	25.30	11.14	0.69
AGO1_peak_244	Chr1	27838079	27838439	-1.61	7.49	2.86	12.19	8.98	9.96	At1g74020_promoter_1k;At1g74030_downstream_1k	At1g74020	21.26	49.99	1.23	0.00	1.51	1.71	12.00	12.50	10.85	11.73	13.43	13.46	0.25
											At1g74030	28.51	43.61	0.61	0.20	1.03	0.84	7.86	7.80	8.32	8.65	8.38	8.12	0.00
AGO1_peak_245	Chr1	28051907	28052725	-3.63	2.73	5.69	16.39	12.65	14.18	At1g74670_promoter_1k	At1g74670	335.87	56.71	-2.57	0.00	12.96	0.52	80.15	22.02	21.43	8.13	39.40	14.90	1.29
AGO1_peak_246	Chr1	28053664	28053946	0.11	8.76	11.3	19.77	13.95	12.34	At1g74670	At1g74670	335.87	56.71	-2.57	0.00	12.96	0.52	80.15	22.02	21.43	8.13	39.40	14.90	1.29
AGO1_peak_247	Chr1	28075099	28075323	1.51	2.09	9.21	11.65	11.07	8.47	At1g74720	At1g74720	10.33	7.07	-0.55	0.30	1.18	0.89	12.56	10.66	13.47	10.29	15.95	13.17	1.26
AGO1_peak_248	Chr1	28135329	28135598	-5.33	6.38	3.97	14.33	15.22	15.68	At1g74900;At1g74910	At1g74900	1.58	1.44	-0.13	0.99	5.10	1.91	11.13	9.42	18.38	16.77	15.20	12.88	0.96
											At1g74910	63.10	63.63	0.01	0.99	5.42	2.57	13.70	10.84	23.72	20.79	25.35	19.73	2.57
AGO1_peak_249	Chr1	28281133	28281428	-2.89	6.2	0.75	15.08	9.68	7.15	At1g75380_downstream_1k	At1g75380	239.54	219.16	-0.13	0.90	36.22	5.22	23.66	15.02	31.62	20.43	45.41	29.59	9.02
AGO1_peak_250	Chr1	28317634	28317841	-5.62	5.26	7.24	10.32	11.71	10.7	At1g75450	At1g75450	4.44	1.80	-1.30	0.19	3.31	1.14	13.78	9.08	16.54	11.43	17.16	11.59	0.28
AGO1_peak_251	Chr1	29333117	29333656	-2.54	3.96	5.57	12.66	13.1	17.8	At1g78000_downstream_1k;At1g78010_promoter_1k	At1g78000	13.32	26.48	0.99	0.02	6.31	9.78	18.09	9.61	12.85	14.04	16.01	17.73	0.33
											At1g78010	12.35	10.62	-0.22	0.82	0.91	0.40	9.72	9.01	12.93	10.69	12.60	10.30	0.38
AGO1_peak_252	Chr1	29384874	29385062	-5.83	4.46	10.12	13.25	10.89	12.34	.	NA													
AGO1_peak_253	Chr1	29449642	29449959	-0.12	12.04	13.24	9.54	11.39	11.31	At1g78260	At1g78260	19.99	6.91	-1.53	0.00	7.26	2.35	16.38	9.99	19.70	12.14	22.55	12.96	5.05
AGO1_peak_254	Chr1	29656135	29656308	-4.93	6.33	6.07	14.74	7.79	7.92	At1g78880_promoter_1k;At1g78882_promoter_1k;At1g78890_promoter_1k	NA													
											At1g78882	25.00	19.12	-0.39	0.53	2.71	1.38	10.16	8.91	16.90	15.55	15.26	14.06	1.09
											At1g78890	34.97	52.07	0.57	0.27	3.01	1.56	18.41	13.76	22.81	23.04	27.98	27.69	2.62
AGO1_peak_255	Chr1	29744325	29744789	-4.2	2.26	5.28	11.5	8.94	8.86	At1g79060_downstream_1k;At1g79070_downstream_1k	At1g79060	2.63	1.26	-1.07	0.17	1.51	0.57	14.52	11.83	15.08	11.59	15.70	11.60	4.51
											At1g79070	5.94	6.27	0.08	0.97	0.61	0.66	14.55	13.16	12.71	12.99	14.67	12.25	3.65
AGO1_peak_256	Chr1	29756121	29756428	-0.45	7.83	11.9	10.63	6.14	7.56	.	NA													
AGO1_peak_257	Chr1	29777779	29778670	-0.4	3.03	8.51	14.91	12.03	14.08	At1g79150_promoter_1k	At1g79150	11.12	10.78	-0.04	0.97	1.61	1.39	5.97	6.34	7.53	7.57	6.99	7.31	30.85
AGO1_peak_258	Chr1	30241581	30243624	0.34	10.57	8.85	21.86	25.24	22.4	At1g80440;At1g80440_downstream_1k;At1g80450_downstream_1k	At1g80440	110.52	63.89	-0.79	0.07	26.89	3.12	116.94	54.10	56.17	45.92	79.39	69.71	19.97
											At1g80450	13.57	17.22	0.34	0.68	2.38	2.86	23.20	30.65	16.90	22.19	21.63	34.73	0.65
AGO1_peak_259	Chr1	30403334	30404744	-0.3	16.07	18.01	32.05	28.2	36.2	At1g80920	At1g80920	419.68	284.65	-0.56	0.30	235.51	12.32	129.51	77.18	63.91	62.79	84.66	81.60	13.04
AGO1_peak_260	Chr2	122919	123127	0.32	4.98	1.18	11.98	12.69	16.73	At2g01220_promoter_1k	At2g01220	25.08	26.23	0.06	0.96	2.19	1.75	7.32	7.40	10.42	10.43	8.66	8.68	0.61
AGO1_peak_261	Chr2	177868	178154	-2.75	2.43	8.65	14.1	10.55	9.59	.	NA													
AGO1_peak_262	Chr2	180745	181860	-2.7	1.14	6.72	13.35	12.28	13.52	At2g01420	At2g01420	31.30	12.01	-1.38	0.00	6.36	1.24	36.51	14.81	18.49	11.94	26.50	15.06	3.03
AGO1_peak_263	Chr2	182471	183487	-1.62	0.95	6.96	13.19	13.05	14.74	At2g01420	At2g01420	31.30	12.01	-1.38	0.00	6.36	1.24	36.51	14.81	18.49	11.94	26.50	15.06	3.03
AGO1_peak_264	Chr2	263386	263598	-12.88	0.17	8.36	13.15	13.22	11.44	.	NA													
AGO1_peak_265	Chr2	379345	379685	2.9	10.05	3.74	12.56	12.2	13.65	.	NA													
AGO1_peak_266	Chr2	386107	387275	-4.5	11.31	10.9	18.23	18.27	20.04	At2g01850	At2g01850	124.13	142.68	0.20	0.82	37.44	9.01	53.16	19.75	50.04	24.40	71.37	34.20	10.39
AGO1_peak_267	Chr2	507876	508232	-1.55	6.33	4.19	12	12.26	13.92	At2g02070	At2g02070	42.32	33.50	-0.34	0.60	6.37	1.14	12.03	9.05	25.88	17.00	29.80	18.15	9.34
AGO1_peak_268	Chr2	509382	510157	2.72	5.72	7.05	16.68	11.82	15.51	At2g02070_downstream_1k;At2g02070	At2g02070	42.32	33.50	-0.34	0.60	6.37	1.14	12.03	9.05	25.88	17.00	29.80	18.15	9.34
AGO1_peak_269	Chr2	519534	519794	0.51	10.28	17.02	17.11	10.57	13.38	At2g02080	At2g02080	24.19	16.15	-0.58	0.25	6.38	1.90	13.98	8.05	17.30	11.10	20.22	11.96	17.98
AGO1_peak_270	Chr2	519886	520166	-1.71	7.16	3.87	13.13	12.12	13.56	At2g02080	At2g02080	24.19	16.15	-0.58	0.25	6.38	1.90	13.98	8.05	17.30	11.10	20.22	11.96	17.98
AGO1_peak_271	Chr2	520353	520560	-4.12	8.98	8.39	13.18	11.71	18.34	At2g02080	At2g02080	24.19	16.15	-0.58	0.25	6.38	1.90	13.98	8.05	17.30	11.10	20.22	11.96	17.98
AGO1_peak_272	Chr2	528309	529396	-3.11	7.97	8.02	11.13	12	12.03	At2g02100	At2g02100	384.50	395.71	0.04	0.97	41.85	17.95	89.66	77.18	50.51	50.20	79.78	77.17	6.61
AGO1_peak_273	Chr2	761725	762056	-6.6	7.12	11.71	9.5	11.07	7.96	At2g02710_promoter_1k	At2g02710	36.53	37.25	0.03	0.98	8.70	2.25	21.72	11.37	24.48	17.79	35.28	23.69	3.72
AGO1_peak_274	Chr2	1020906	1021286	-0.91	1.27	11.97	12.33	13.61	12.76	At2g03350	At2g03350	37.83	29.49	-0.36	0.61	2.56	1.72	12.76	9.49	15.58	14.61	17.15	14.94	0.52
AGO1_peak_275	Chr2	1076718	1077215	-2.41	2.41	7.37	14.92	11.17	16.97	At2g03550_promoter_1k	At2g03550	34.64	64.45	0.90	0.04	2.55	0.69	25.64	13.60	18.84	10.13	26.97	13.48	0.53
AGO1_peak_276	Chr2	1187836	1188201	-0.95	13.79	14.36	10.4	11.07	15.02	At2g03890	At2g03890	28.83	21.04	-0.45	0.42	6.38	3.63	28.74	13.84	34.16	21.19	48.28	26.34	3.04
AGO1_peak_277	Chr2	1188351	1189346	-6.69	4.26	12.73	11.45	11.81	15.15	At2g03890;At2g03890_downstream_1k	At2g03890	28.83	21.04	-0.45	0.42	6.38	3.63	28.74	13.84	34.16	21.19	48.28	26.34	3.04
AGO1_peak_278	Chr2	1966759	1967411	-1.26	10.41	16.76	14.65	8.18	14.88	At2g05380	At2g05380	445.14	924.48	1.05	0.01	53.05	24.42	76.50	30.39	39.02	30.53	63.95	51.75	5.24
AGO1_peak_279	Chr2	1967463	1968379	-1.24	9.28	12.04	11.66	8.94	13.7	At2g05380	At2g05380	445.14	924.48	1.05	0.01	53.05	24.42	76.50	30.39	39.02	30.53	63.95	51.75	5.24
AGO1_peak_280	Chr2	2033060	2033363	NA	1.35	9.71	5.68	5.16	6.96	At2g05540	At2g05540	112.53	18.42	-2.61	0.00	17.45	4.67	41.48	6.77	25.51	5.61	43.32	5.36	7.87
AGO1_peak_281	Chr2	2033588	2034034	-2.14	8.47	9.88	7.71	10.15	8.75	At2g05540	At2g05540	112.53	18.42	-2.61	0.00	17.45	4.67	41.48	6.77	25.51	5.61	43.32	5.36	7.87
AGO1_peak_282	Chr2	2763423	2763891	-0.52	13.25	15.57	12.55	9.33	12.17	At2g06850	At2g06850	774.83	211.81	-1.87	0.00	18.89	5.45	62.68	27.44	46.64	27.77	69.86	43.70	103.21
AGO1_peak_283	Chr2	2764177	2764769	-0.93	11.76	15.9	12.22	8.28	9.08	At2g06850	At2g06850	774.83	211.81	-1.87	0.00	18.89	5.45	62.68	27.44	46.64	27.77	69.86	43.70	103.21
AGO1_peak_284	Chr2	2764873	2765855	-1.99	12.38	14.48	11.72	11.08	12.24	At2g06850	At2g06850	774.83	211.81	-1.87	0.00	18.89	5.45	62.68	27.44	46.64	27.77	69.86	43.70	103.21
AGO1_peak_285	Chr2	4310126	4312275	-1.37	16.3	12.14	14.41	9.53	11.87	At2g10940;At2g10940_promoter_1k	At2g10940	1705.13	421.23	-2.02	0.00	122.36	37.53	101.02	46.84	48.23	20.63	73.92	35.42	6.59
AGO1_peak_286	Chr2	4312675	4312909	-4.09	5.35	10.79	13.18	9.21	9.01	At2g10940_promoter_1k	At2g10940	1705.13	421.23	-2.02	0.00	122.36	37.53	101.02	46.84	48.23	20.63	73.92	35.42	6.59
AGO1_peak_287	Chr2	4313824	4314235	-0.84	8.36	6.39	14	9.31	10.78	.	NA													
AGO1_peak_288	Chr2	5049807	5050026	-7.32	0.4	7.17	21.13	14.76	18.78	At2g12461_downstream_1k;At2g12461	At2g12461	101.64	51.79	-0.97	0.64	0.79	0.62	31.59	20.86	19.19	18.13	35.92	25.22	12.38
AGO1_peak_289	Chr2	5540541	5540785	-5.46	22.1	2.81	20.42	21.2	26.36	At2g13360	At2g13360	951.95	790.73	-0.27	0.77	63.16	4.37	38.56	19.12	38.13	14.76	56.76	19.87	14.20
AGO1_peak_290	Chr2	5540880	5541215	-4.28	16.81	4.14	22.31	19.95	17	At2g13360	At2g13360	951.95	790.73	-0.27	0.77	63.16	4.37	38.56	19.12	38.13	14.76	56.76	19.87	14.20
AGO1_peak_291	Chr2	6400245	6400654	-4.68	4.91	6.18	13.92	13.44	16.24	At2g14890	At2g14890	350.03	141.05	-1.31	0.00	28.93	16.76	63.75	35.17	37.65	35.23	54.76	47.32	3.29
AGO1_peak_292	Chr2	6520741	6520975	-5.25	3.89	8.41	15.21	14.51	17.57	At2g15050_downstream_1k	At2g15050	98.65	99.08	0.01	1.00	36.31	9.60	33.84	26.63	19.35	20.77	33.50	35.94	8.02
AGO1_peak_293	Chr2	6643805	6644282	-0.29	1.6	6.42	12.06	8.7	11.05	At2g15290_promoter_1k	At2g15290	119.21	111.48	-0.10	0.93	3.79	1.48	10.60	9.22	13.22	13.38	12.07	11.30	1.92
AGO1_peak_294	Chr2	6918291	6922287	-3.51	4.98	5.13	12.51	13.86	11.51	At2g15880;At2g15890	At2g15880	43.24	27.80	-0.64	0.22	16.53	10.01	32.03	17.76	49.27	51.70	52.93	53.93	3.30
											At2g15890	234.27	226.87	-0.05	0.97	39.28	8.80	73.60	47.04	52.89	59.38	75.46	80.94	23.04
AGO1_peak_295	Chr2	7303450	7303977	3.16	5.06	7.05	15.53	14.72	13.21	At2g16850_downstream_1k;At2g16860_downstream_1k	At2g16850	26.24	11.28	-1.22	0.01	2.09	0.93	9.75	6.98	8.87	6.21	12.14	6.35	0.90
											At2g16860	47.34	59.14	0.32	0.63	3.81	1.40	8.32	7.30	15.45	12.33	13.52	11.67	0.51
AGO1_peak_296	Chr2	7951210	7951649	-5.21	5.48	12.7	12.84	11.05	13.69	.	NA													
AGO1_peak_297	Chr2	7952143	7953916	0.12	8.59	12.98	16.23	15.68	15.58	At2g18300	At2g18300	63.65	16.87	-1.92	0.00	21.83	0.56	60.17	16.10	33.24	12.65	54.17	18.16	4.97
AGO1_peak_298	Chr2	7954039	7954639	-1.37	9.31	15.4	19.38	16.43	21.79	At2g18300	At2g18300	63.65	16.87	-1.92	0.00	21.83	0.56	60.17	16.10	33.24	12.65	54.17	18.16	4.97
AGO1_peak_299	Chr2	8526790	8527095	-6.95	1.91	8.68	15.56	7.6	12.45	At2g19790_promoter_1k	At2g19790	61.13	57.11	-0.10	0.93	4.62	1.64	12.50	11.51	14.27	14.70	16.02	15.18	1.28
AGO1_peak_300	Chr2	8532542	8532716	NA	9.19	7.78	11.93	8.36	8.48	At2g19800	At2g19800	115.36	74.61	-0.63	0.29	8.14	0.98	28.15	18.34	20.96	27.74	38.08	46.72	0.75
AGO1_peak_301	Chr2	8532856	8533316	-1.49	11.21	12.72	7.48	7.97	8.48	At2g19800	At2g19800	115.36	74.61	-0.63	0.29	8.14	0.98	28.15	18.34	20.96	27.74	38.08	46.72	0.75
AGO1_peak_302	Chr2	8550599	8550806	1.64	3.31	9.91	17.48	15.62	18.34	At2g19810	At2g19810	11.01	4.25	-1.37	0.01	1.59	0.60	63.93	19.76	13.13	11.62	18.05	17.56	1.26
AGO1_peak_303	Chr2	8711716	8711998	1.57	2.83	0.77	8.41	12.61	11.22	At2g20190	At2g20190	25.04	22.72	-0.14	0.89	4.61	2.39	8.14	8.15	15.29	14.16	12.61	11.19	0.53
AGO1_peak_304	Chr2	8736457	8737060	-0.63	3.85	6.79	16.03	13.23	18.89	At2g20250_promoter_1k;At2g20260_promoter_1k;At2g20260	At2g20250	3.09	1.73	-0.84	0.26	0.48	0.38	6.47	6.80	6.01	5.46	5.26	5.05	0.79
											At2g20260	742.77	356.36	-1.06	0.02	48.07	9.08	29.21	15.04	24.97	20.31	26.71	22.46	11.59
AGO1_peak_305	Chr2	8911191	8913767	-1.08	21.61	29.43	13.26	10.98	16.66	At2g20670_downstream_1k;At2g20670	At2g20670	229.55	100.55	-1.19	0.01	13.31	2.48	132.37	83.22	63.35	54.73	84.41	79.29	7.15
AGO1_peak_306	Chr2	9075886	9076288	-1.02	2.55	4.63	15.49	10.05	7.87	At2g21180_promoter_1k;At2g21185_downstream_1k	At2g21180	9.18	11.04	0.27	0.84	3.23	1.08	37.86	19.17	17.20	13.42	24.60	16.43	0.77
											At2g21185	0.00	0.00	0.00	1.00	1.59	0.78	26.42	15.72	13.25	8.26	20.38	10.13	4.55
AGO1_peak_307	Chr2	9710417	9710688	2.5	8.84	11.68	18.39	12.73	18.68	.	NA													
AGO1_peak_308	Chr2	9786077	9786563	-0.85	9.62	9.41	15.5	10.31	14.54	At2g22990	At2g22990	324.08	186.52	-0.80	0.08	37.31	4.36	12.13	6.54	20.67	11.32	25.57	12.71	4.04
AGO1_peak_309	Chr2	9790291	9790711	-4.31	5.2	9.17	16.24	14.63	14.56	At2g22990_downstream_1k	At2g22990	324.08	186.52	-0.80	0.08	37.31	4.36	12.13	6.54	20.67	11.32	25.57	12.71	4.04
AGO1_peak_310	Chr2	9994956	9995185	-7	0.53	11.12	13.47	12.71	15.66	At2g23460_promoter_1k	At2g23460	19.42	18.68	-0.06	0.96	2.95	1.81	9.54	9.44	15.42	12.61	16.21	12.62	0.76
AGO1_peak_311	Chr2	10107974	10108248	1.61	7.06	11.56	16.67	10.42	11.93	At2g23760	At2g23760	22.93	7.16	-1.68	0.00	6.40	1.14	10.36	6.28	12.70	7.42	14.33	7.18	0.66
AGO1_peak_312	Chr2	11041662	11042918	-1.64	6.43	9.37	21.77	21.67	24.26	At2g25900	At2g25900	71.27	26.42	-1.43	0.00	8.89	2.40	67.67	32.26	24.11	25.49	39.16	38.20	17.50
AGO1_peak_313	Chr2	11121513	11121735	-3.84	6.29	13.97	15.5	15.29	17.57	At2g26110	At2g26110	34.53	22.70	-0.61	0.24	17.42	6.17	38.12	18.01	22.25	16.77	33.00	21.58	23.40
AGO1_peak_314	Chr2	11270124	11271658	-2.08	11.57	4	16.28	14.86	16.02	At2g26500;At2g26500_downstream_1k	At2g26500	761.17	769.91	0.02	0.99	32.79	6.79	60.52	45.08	42.61	26.43	66.32	43.08	8.38
AGO1_peak_315	Chr2	11380333	11380510	-5.4	8.52	17.33	14.07	5.48	11.32	At2g26710_promoter_1k	At2g26710	3.28	0.37	-3.16	0.01	1.15	0.25	8.91	6.76	7.66	5.96	7.55	5.33	0.09
AGO1_peak_316	Chr2	11514784	11515572	-0.49	4.39	3.12	12.95	10.39	14.18	At2g26980	At2g26980	40.58	60.79	0.58	0.24	6.54	4.64	16.94	12.98	41.19	25.98	55.09	31.98	1.87
AGO1_peak_317	Chr2	12002416	12002742	2.39	10.29	8.46	14.74	13.22	14.23	At2g28150_downstream_1k	At2g28150	13.63	3.67	-1.89	0.00	1.59	0.62	9.42	7.21	11.78	7.10	13.71	6.81	0.84
AGO1_peak_318	Chr2	12255660	12256021	-5.8	1.99	4.44	11.83	12.24	11.39	At2g28605_downstream_1k	At2g28605	26.05	30.94	0.25	0.77	2.65	1.10	35.63	20.89	25.39	17.08	37.39	24.40	5.57
AGO1_peak_319	Chr2	12376813	12377145	-2.37	4.24	6.05	9.29	7.95	7.62	.	NA													
AGO1_peak_320	Chr2	12585346	12585710	-0.57	6.73	8.78	12.22	12.88	11.01	At2g29290_promoter_1k	At2g29290	48.23	19.78	-1.29	0.00	31.54	1.13	25.71	11.50	19.64	7.99	29.52	9.86	4.58
AGO1_peak_321	Chr2	12670302	12671160	-4.02	9.32	6.4	14.86	15.07	14.01	At2g29630_downstream_1k;At2g29640_promoter_1k	At2g29630	199.32	305.17	0.61	0.25	13.03	5.20	18.33	12.60	25.57	14.28	37.37	15.96	4.29
											At2g29640	3.39	3.66	0.11	0.95	0.84	0.78	10.57	9.99	12.83	12.23	12.21	11.15	0.27
AGO1_peak_322	Chr2	12683151	12683404	0.26	1.9	6.11	16.88	13.63	17.09	At2g29670	At2g29670	84.30	48.94	-0.78	0.07	9.98	2.13	22.32	17.91	14.57	13.38	20.13	15.58	2.23
AGO1_peak_323	Chr2	12808885	12809150	-2.58	11.29	5.87	8.73	12	9.95	At2g30010	At2g30010	38.12	17.82	-1.10	0.00	3.58	0.78	13.23	12.85	16.93	15.53	21.78	17.73	0.23
AGO1_peak_324	Chr2	13018894	13019687	-3.14	6.44	9.08	32.54	31.94	30.45	At2g30560_downstream_1k;At2g30570_downstream_1k;At2g30570	At2g30560	0.00	0.00	0.00	1.00	0.07	0.07	11.80	7.80	9.69	9.25	9.87	8.73	0.00
											At2g30570	2093.20	884.78	-1.24	0.01	151.64	19.36	73.23	33.45	47.62	36.91	64.91	50.79	9.55
AGO1_peak_325	Chr2	13020230	13020547	-3.34	6.29	7.54	19.46	15.81	25.28	At2g30570_promoter_1k;At2g30575_downstream_1k	At2g30570	2093.20	884.78	-1.24	0.01	151.64	19.36	73.23	33.45	47.62	36.91	64.91	50.79	9.55
											At2g30575	6.84	4.83	-0.50	0.44	1.47	0.79	10.64	8.02	9.69	9.37	9.60	8.72	1.97
AGO1_peak_326	Chr2	13045223	13046726	-0.65	6.66	10.8	16.34	13.95	18.87	At2g30620	At2g30620	95.63	70.33	-0.44	0.42	9.17	3.99	87.37	64.08	37.31	32.88	63.89	51.96	3.70
AGO1_peak_327	Chr2	13231178	13231618	-0.94	5.42	3.78	15.23	6.37	10.78	.	NA													
AGO1_peak_328	Chr2	13381558	13381792	-0.58	1.61	3.72	18.76	10.13	10.82	At2g31370_downstream_1k;At2g31380_promoter_1k	At2g31370	26.88	22.81	-0.24	0.77	2.90	1.97	15.80	15.56	18.85	17.84	25.54	22.04	0.54
											At2g31380	25.96	6.76	-1.94	0.25	2.45	1.26	16.22	9.80	16.62	17.25	15.56	11.89	2.14
AGO1_peak_329	Chr2	13449697	13450142	-8.13	2.36	8.21	13.73	12.96	11.61	At2g31600	At2g31600	3.52	3.18	-0.15	0.93	0.75	0.60	9.77	9.30	9.22	9.96	9.98	9.59	0.29
AGO1_peak_330	Chr2	13520169	13520467	-3.9	4.82	3.52	11.35	12.66	18.05	At2g31790	At2g31790	62.20	61.46	-0.02	0.99	3.94	2.41	14.22	13.50	21.23	23.55	23.91	22.23	1.81
AGO1_peak_331	Chr2	13645428	13646651	-1.09	5.23	8.66	15.81	15.77	14.31	At2g32090_downstream_1k	At2g32090	28.06	14.34	-0.97	0.07	3.54	0.66	15.89	9.69	10.53	8.14	13.36	6.69	1.17
AGO1_peak_332	Chr2	13820030	13820405	-4.15	3.37	1.87	13.44	11.78	11.25	At2g32550	At2g32550	3.82	1.23	-1.64	0.06	0.04	0.02	5.81	6.25	6.38	5.56	5.20	5.32	0.00
AGO1_peak_333	Chr2	13826052	13826609	-1.78	6.03	6.44	20.77	13.74	20.26	At2g32560	At2g32560	36.87	21.98	-0.75	0.11	2.21	0.59	20.39	14.74	14.21	12.39	18.68	15.25	1.14
AGO1_peak_334	Chr2	13873758	13873922	NA	7.3	10.19	14.47	20.04	14.15	At2g32710	At2g32710	25.82	21.90	-0.24	0.77	2.36	1.12	14.87	9.26	19.74	13.89	24.85	14.97	1.05
AGO1_peak_335	Chr2	13875422	13876794	-2.14	7.43	15.39	14.66	14.49	13.37	At2g32710;At2g32710_downstream_1k;At2g32720_downstream_1k	At2g32710	25.82	21.90	-0.24	0.77	2.36	1.12	14.87	9.26	19.74	13.89	24.85	14.97	1.05
											At2g32720	39.84	38.38	-0.05	0.97	2.20	1.60	8.62	8.26	11.79	9.97	12.66	9.87	0.32
AGO1_peak_336	Chr2	14066440	14066661	-3.1	1.7	6.76	16.64	17.56	26.72	At2g33180	At2g33180	51.12	67.58	0.40	0.53	0.86	0.31	12.93	10.65	13.43	11.24	15.67	13.09	0.83
AGO1_peak_337	Chr2	14154519	14154851	-0.93	8.36	4.64	14.29	9.58	10.8	At2g33400_promoter_1k	At2g33400	10.44	7.81	-0.42	0.74	2.73	1.20	10.18	7.72	16.33	17.33	15.29	12.88	0.61
AGO1_peak_338	Chr2	14308582	14310436	-2.64	12.56	23.97	11.84	11.22	10.81	At2g33820_promoter_1k;At2g33830_downstream_1k;At2g33830	At2g33820	6.72	7.95	0.24	0.85	0.22	0.39	7.40	7.90	8.85	8.54	9.28	8.34	0.14
											At2g33830	318.84	237.01	-0.43	0.49	384.87	14.36	125.40	91.60	56.89	58.09	83.60	83.76	19.26
AGO1_peak_339	Chr2	14389378	14389760	-8.94	2.56	6.53	14.44	11.57	16.29	At2g34070	At2g34070	29.70	56.26	0.92	0.03	3.22	2.50	16.12	13.95	16.83	13.80	23.67	16.71	0.20
AGO1_peak_340	Chr2	14435819	14436136	-7.75	7.82	1.76	12.91	8.84	11.64	At2g34185;At2g34186	At2g34185	0.66	0.20	-1.71	1.00	0.07	0.07	7.86	7.01	8.63	6.32	6.59	5.26	0.15
											At2g34186	0.00	0.00	0.00	1.00	0.00	0.13						0.00	
AGO1_peak_341	Chr2	14644895	14645429	-5.88	7.61	15.14	23.1	15.74	25.08	At2g34710_promoter_1k	At2g34710	14.62	8.44	-0.79	0.09	1.94	0.80	8.12	7.66	13.01	8.81	15.33	9.79	2.93
AGO1_peak_342	Chr2	14668161	14668716	-4.68	3.38	10.28	12.93	10.39	11.78	At2g34770_downstream_1k;At2g34780_promoter_1k	At2g34770	68.74	47.47	-0.53	0.31	8.20	2.91	13.96	12.95	17.53	18.20	17.71	19.17	0.86
											At2g34780	4.66	4.23	-0.14	0.92	1.75	1.26	6.99	7.20	9.37	9.51	8.86	8.17	0.05
